year,brand,model,location,price,mileage,body_type,exterior_colour,interior_colour,door,passenger,transmission,drive_type,displacement,cylinder,fuel,country,vehicle_id
2018,Jeep,Compass,Aurora,27888,31249,SUV,Black,Black,4,5,Automatic,4x4,2.4,4,Gasoline,USA,180
2016,Chrysler,300C,Aurora,19995,43210,Sedan,Blue,Black,4,5,Automatic,F4A,0.0,4,Gasoline,USA,181
2016,Hyundai,Sonata,Aurora,18999,61258,Sedan,Red,Black,4,5,Automatic,FWD,2.4,4,Gasoline,Korea,182
2017,Hyundai,Tucson,Aurora,32399,3489,SUV,Red,Gray,4,5,Automatic,AWD,1.6,4,Gasoline,Korea,183
2018,Jeep,Cherokee,Barrie,29686,38579,SUV,White/Black,Black,4,5,Automatic,4x4,3.2,6,Gasoline,USA,184
2014,Ford,Focus,Barrie,9986,129373,Hatchback,White/Black,Black,4,5,Manual,FWD,2.0,4,Gasoline,USA,185
2005,Pontiac,Grand,Barrie,1950,220653,Sedan,White,Black,4,5,Automatic,FWD,3.8,6,Gasoline,USA,186
2015,Chevrolet,Sonic,Barrie,6700,124456,Hatchback,White,Black,4,5,Automatic,FWD,1.8,4,Gasoline,USA,187
2004,Dodge,Ram,Barrie,8800,318000,Truck,Silver,Black,4,6,Manual,4x4,5.9,6,Gasoline,USA,188
2009,Chrysler,PT,Barrie,1950,123946,SUV,Silver,Black,4,5,Manual,FWD,2.4,4,Gasoline,USA,189
2018,Jeep,Compass,Barrie,21998,57598,SUV,White/Black,Black,4,5,Automatic,4x4,2.4,4,Gasoline,USA,190
2018,Chevrolet,Colorado,Barrie,46550,49654,Truck,Green,Black,4,5,Automatic,4x4,3.6,6,Gasoline,USA,191
2018,GMC,Yukon,Barrie,64550,50857,SUV,Black,Black,4,7,Automatic,AWD,6.2,8,Flex,USA,192
2017,Chevrolet,Cruze,Barrie,14995,55118,Sedan,Black,Black,4,5,Automatic,FWD,1.4,4,Gasoline,USA,193
2011,Ford,Edge,Barrie,5888,246106,Sedan,Blue,Black,4,5,Automatic,AWD,3.5,6,Gasoline,USA,194
2015,Mitsubishi,RVR,Barrie,18498,87500,SUV,Gray,Black,4,5,Automatic,4x4,2.0,4,Gasoline,Japan,195
2011,Mitsubishi,RVR,Barrie,6898,114000,SUV,Gray,Black,4,5,Manual,FWD,2.0,4,Gasoline,Japan,196
2016,Dodge,Grand,Barrie,9950,124665,Van,White,Black,4,7,Automatic,FWD,3.6,6,Gasoline,USA,197
2013,GMC,Sierra,Barrie,21986,159530,Truck,White/Black,Black,2,6,Automatic,4x4,5.3,8,Gasoline,USA,198
2015,Chevrolet,Traverse,Barrie,14986,140000,SUV,White/Black,Black,4,8,Automatic,AWD,3.6,6,Gasoline,USA,199
2015,Toyota,Corolla,Barrie,13258,70663,Sedan,Gray,Black,4,5,Automatic,FWD,1.8,4,Gasoline,Japan,200
2016,Toyota,RAV4,Barrie,21458,76672,SUV,Red,Black,4,5,Automatic,AWD,2.5,4,Gasoline,Japan,201
2016,Honda,HR-V,Barrie,15758,123234,SUV,White,Black,4,5,Automatic,AWD,1.8,4,Gasoline,Japan,202
2015,Ford,Transit,Barrie,19995,139038,Commercial,White,Black,3,2,Automatic,RWD,3.5,6,Gasoline,USA,203
2012,Chevrolet,Cruze,Barrie,5900,139024,Sedan,Red,Black,4,5,Automatic,FWD,1.4,4,Gasoline,USA,204
2012,Subaru,Forester,Barrie,15995,109700,SUV,Gray,Black,4,5,Automatic,AWD,2.5,4,Gasoline,Japan,205
2013,Ford,F-150,Barrie,18995,137641,Truck,Black,Black,4,5,Automatic,4x4,5.0,8,Gasoline,USA,206
2017,Ford,Explorer,Barrie,38995,82799,SUV,Blue,Black,4,7,Automatic,4x4,3.5,6,Gasoline,USA,207
2017,Mazda,CX-9,Barrie,27995,43044,SUV,White,Black,4,7,Automatic,AWD,2.5,4,Gasoline,Japan,208
2010,Ford,Fusion,Barrie,11995,18256,Sedan,Gray,Black,4,5,Automatic,FWD,2.5,4,Gasoline,USA,209
2016,Ford,F-150,Barrie,35995,65000,Truck,Gray,Black,4,5,Automatic,4x4,5.0,8,Gasoline,USA,210
2016,Ford,F-150,Barrie,29995,160000,Truck,Blue,Black,4,5,Automatic,4x4,5.0,8,Gasoline,USA,211
