year,brand,model,location,price,mileage,body_type,exterior_colour,interior_colour,door,passenger,transmission,drive_type,displacement,cylinder,fuel
2019,Acura,RDX,Aurora,"$43,777","13,387",SUV,Black,Black,4,5,Automatic,AWD,2.0L,4,Gasoline
2019,Acura,RDX,Aurora,"$41,988","38,089",SUV,Black,Red,4,5,Automatic,AWD,#NAME?,-,Gasoline
2019,Toyota,Camry,Aurora,"$22,500","32,122",Sedan,White,Black,4,5,Automatic,FWD,2.5L,4,Gasoline
2016,Toyota,Corolla,Aurora,"$13,777","30,011",Sedan,Gray,Black,4,5,Automatic,FWD,1.8L,4,Gasoline
2016,Toyota,RAV4,Aurora,"$17,888","97,220",SUV,White,Black,4,5,Automatic,AWD,2.5L,4,Gasoline
2016,Toyota,RAV4,Aurora,"$25,998","65,395",SUV,Gray,Black,4,5,Automatic,AWD,2.5L,4,Gasoline
2016,Hyundai,Tucson,Aurora,"$16,888","132,008",SUV,Brown,Black,4,5,Automatic,AWD,1.6L,4,Gasoline
2019,Toyota,Highlander,Aurora,"$46,994","12,042",SUV,Black,Black,4,8,Automatic,AWD,3.5L,6,Gasoline
2016,Honda,Pilot,Aurora,"$30,998","58,962",SUV,Silver,Black,4,7,Automatic,AWD,3.5L,6,Gasoline
2016,Nissan,Rogue,Aurora,"$15,588","47,587",SUV,Gray,Black,4,5,Automatic,FWD,2.5L,4,Gasoline
2009,Kia,Spectra,Aurora,"$2,495","203,637",Sedan,Silver,Gray,4,5,Automatic,FWD,#NAME?,-,Gasoline
2016,Toyota,Camry,Aurora,"$16,388","46,656",Sedan,-,Gray,4,5,Automatic,FWD,2.5L,4,Gasoline
2016,Acura,RDX,Aurora,"$22,688","77,555",SUV,White,Black,4,5,Automatic,AWD,3.5L,6,Gasoline
2017,Toyota,Tacoma,Aurora,"$34,988","78,638",Truck,White,Gray,4,5,Automatic,4x4,3.5L,6,Gasoline
2019,Acura,TLX,Aurora,"$38,988","22,726",Sedan,White,Red,4,5,Automatic,AWD,3.5L,6,Gasoline
2019,Jeep,Grand,Aurora,"$36,500","33,277",SUV,Black,Black,4,5,Automatic,4x4,3.6L,6,Gasoline
2011,Nissan,Maxima,Aurora,"$6,995","257,100",Sedan,-,Black,4,5,Automatic,-,#NAME?,-,Gasoline
2011,Volvo,C70,Aurora,"$10,495","179,110",Convertible,Black,-,2,4,Automatic,FWD,#NAME?,-,Gasoline
2018,Chevrolet,Cruze,Aurora,"$15,995",,Sedan,-,-,4,5,Automatic,FWD,1.4L,4,Gasoline
2020,Hyundai,Elantra,Aurora,"$17,988","12,130",Sedan,White,Black,4,5,Automatic,FWD,2.0L,4,Gasoline
2016,Acura,MDX,Aurora,"$29,555","64,480",SUV,Green,Tan,4,7,Automatic,AWD,3.5L,6,Gasoline
2018,Acura,TLX,Aurora,"$29,888","32,445",Sedan,Red,Black,4,5,Automatic,FWD,2.4L,4,Gasoline
2018,Acura,TLX,Aurora,"$32,555","40,533",Sedan,Black,Black,4,5,Automatic,AWD,3.5L,6,Gasoline
2017,Subaru,Impreza,Aurora,"$21,788","27,073",Hatchback,Red,Black,4,5,Automatic,AWD,2.0L,4,Gasoline
2017,Acura,RDX,Aurora,"$29,888","64,227",SUV,Gray,-,4,5,Automatic,AWD,3.5L,6,Gasoline
2017,Audi,Q5,Aurora,"$29,999","41,667",SUV,Gray,Black,4,5,Automatic,AWD,2.0L,4,Gasoline
2019,Hyundai,Tucson,Aurora,"$26,888","7,184",SUV,White,Black,4,5,Automatic,AWD,2.0L,4,Gasoline
2016,Ford,Transit,Aurora,"$23,985","119,120",-,-,-,3,-,Automatic,RWD,#NAME?,-,Gasoline
2018,Ford,Transit,Aurora,"$30,985","16,302",Van,-,-,3,2,Automatic,RWD,3.7L,6,Gasoline
2018,Hyundai,Tucson,Aurora,"$24,999","39,454",SUV,White,Black,4,5,Automatic,AWD,2.0L,4,Gasoline
2016,Toyota,RAV4,Aurora,"$18,577","91,238",SUV,Black,Black,4,5,Automatic,AWD,2.5L,4,Gasoline
2017,Hyundai,Santa,Aurora,"$36,899","13,615",SUV,Black,Black,4,5,Automatic,AWD,2.0L,4,Gasoline
2019,Hyundai,Santa,Aurora,"$38,499","14,828",SUV,Blue,Black,4,5,Automatic,AWD,2.0L,4,Gasoline
2014,Buick,Encore,Aurora,"$14,999","103,726",SUV,White,Brown,4,5,Automatic,AWD,1.4L,4,Gasoline
2019,Hyundai,Santa,Aurora,"$37,499","14,231",SUV,White,Black,4,5,Automatic,AWD,2.0L,4,Gasoline
2016,Chevrolet,Cruze,Aurora,"$13,999","35,482",Sedan,Silver,Black,4,5,Automatic,FWD,1.4L,4,Gasoline
2019,Jeep,Grand,Aurora,"$36,888","29,920",SUV,Black,Black,4,5,Automatic,4x4,3.6L,6,Gasoline
2011,Toyota,Sienna,Aurora,"$10,995","211,100",-,Gray,Gray,5,7,Automatic,AWD,#NAME?,-,Gasoline
2018,Ram,1500,Aurora,"$39,888","21,800",Truck,Gray,Black,4,5,Automatic,4x4,5.7L,8,Gasoline
2011,Mercedes-Benz,G55,Aurora,"$69,995","146,100",SUV,Black,Black,-,5,Automatic,4x4,#NAME?,-,Gasoline
2019,Ford,Transit,Aurora,"$34,985","13,000",-,-,-,3,-,Automatic,RWD,#NAME?,-,Gasoline
2019,GMC,Savana,Aurora,"$29,985","16,000",Commercial,-,-,3,2,Automatic,RWD,4.3L,6,Gasoline
2008,Lexus,RX,Aurora,"$10,495","207,100",SUV,-,Black,4,5,-,AWD,#NAME?,-,Gasoline
2011,Subaru,Forester,Aurora,"$6,495","212,100",SUV,Black,Gray,4,5,Manual,AWD,#NAME?,-,Gasoline
2019,Acura,RDX,Aurora,"$42,988","24,002",SUV,Red,Black,4,5,Automatic,AWD,2.0L,4,Gasoline
2019,Jeep,Grand,Aurora,"$36,888","29,877",SUV,White,Black,4,5,Automatic,4x4,3.6L,6,Gasoline
2019,Acura,MDX,Aurora,"$44,996","28,583",SUV,Silver,Black,4,7,Automatic,AWD,3.5L,6,Gasoline
2014,BMW,535i,Aurora,"$15,995","167,100",Sedan,Blue,Black,-,-,Automatic,AWD,#NAME?,-,-
2008,Mazda,CX-7,Aurora,"$4,995","173,560",-,Silver,Black,4,5,Automatic,FWD,#NAME?,-,Gasoline
2017,Subaru,Outback,Aurora,"$22,995","57,151",SUV,-,Black,-,-,-,AWD,#NAME?,-,-
2011,Subaru,Legacy,Aurora,"$7,495","156,100",Sedan,-,Black,4,4,-,AWD,#NAME?,-,Gasoline
