year,brand,model,location,price,mileage,body_type,exterior_colour,interior_colour,door,passenger,transmission,drive_type,displacement,cylinder,fuel
2014,Dodge,Grand,Milton,"$14,950","98,019",Van,-,-,4,7,Automatic,FWD,3.6L,6,Gasoline
2017,Volkswagen,Golf,Milton,"$13,999","96,905",Sedan,White,-,2,5,Automatic,FWD,1.8L,4,Gasoline
2016,Volkswagen,Tiguan,Milton,"$19,888","43,664",SUV,White,-,2,5,Automatic,AWD,2.0L,4,Gasoline
2015,Kia,Soul,Milton,"$12,999","85,058",Sedan,Silver,-,2,5,Automatic,FWD,2.0L,4,Gasoline
2017,Volkswagen,Golf,Milton,"$16,777","23,614",Sedan,White,-,2,5,Manual,FWD,1.8L,4,Gasoline
2019,Honda,HR-V,Milton,"$27,980",220,SUV,White,Black,4,5,Automatic,AWD,1.8L,4,Gasoline
2017,Honda,Pilot,Milton,"$32,798","70,321",SUV,White,Black,4,7,Automatic,AWD,3.5L,6,Gasoline
2019,Honda,Civic,Milton,"$21,445","9,999",Sedan,White,Black,4,5,Automatic,FWD,2.0L,4,Gasoline
2016,Volkswagen,Jetta,Milton,"$11,698","77,096",Sedan,Black,Black,4,5,Automatic,FWD,1.4L,4,Gasoline
2018,Hyundai,Elantra,Milton,"$14,870","50,214",Sedan,-,-,4,5,Automatic,FWD,2.0L,4,Gasoline
2019,Kia,Forte,Milton,"$16,540","17,755",Sedan,-,-,4,5,Automatic,FWD,2.0L,4,Gasoline
2019,Hyundai,Tucson,Milton,"$22,157","26,855",SUV,-,-,4,5,Automatic,AWD,2.0L,4,Gasoline
2017,Nissan,Sentra,Milton,"$11,988","75,910",Sedan,Blue,Black,4,5,-,FWD,1.8L,4,Gasoline
2017,Nissan,Sentra,Milton,"$11,888","84,961",Sedan,Gray,Black,4,5,-,FWD,1.8L,4,Gasoline
2020,Kia,Forte,Milton,"$20,489","6,255",Sedan,Gray,-,2,5,Automatic,FWD,2.0L,4,Gasoline
2020,Kia,Sorento,Milton,"$44,444","1,855",SUV,Blue,-,2,7,Automatic,AWD,3.3L,6,Gasoline
2020,Kia,Forte,Milton,"$19,642",625,Sedan,Gray,-,2,5,-,FWD,2.0L,4,Gasoline
2016,Ford,Super,Milton,"$34,998","61,058",Truck,-,Gray,4,5,Automatic,4x4,6.2L,8,Gasoline
2017,Subaru,Forester,Milton,"$25,998","15,366",SUV,-,Black,4,5,Automatic,AWD,2.5L,4,Gasoline
2019,Volkswagen,Jetta,Milton,"$18,931","44,073",Sedan,Gray,-,4,5,Automatic,FWD,1.4L,4,Gasoline
2013,Ford,Edge,Milton,"$12,487","127,913",Sedan,-,-,4,5,Automatic,FWD,3.5L,6,Gasoline
2018,Hyundai,Accent,Milton,"$12,990","48,920",Hatchback,-,-,4,5,Automatic,FWD,1.6L,4,Gasoline
2019,Kia,Sorento,Milton,"$26,999","26,590",SUV,White,-,2,7,Automatic,AWD,2.4L,4,Gasoline
2016,Ram,1500,Milton,"$25,870","92,358",Truck,Gray,-,4,6,Automatic,4x4,3.0L,6,Diesel
2017,Mercedes-Benz,GLA,Milton,"$22,638","78,395",SUV,-,-,4,5,Automatic,AWD,2.0L,4,Gasoline
2017,Nissan,Murano,Milton,"$25,988","78,217",SUV,White,Black,4,5,Automatic,AWD,3.5L,6,Gasoline
2018,Nissan,Sentra,Milton,"$12,899","45,463",Sedan,Gray,Black,4,5,-,FWD,1.8L,4,Gasoline
2019,Chevrolet,Colorado,Milton,"$35,988","17,333",Truck,Black,Gray,4,5,Automatic,4x4,3.6L,6,Gasoline
2019,Toyota,Corolla,Milton,"$17,988","48,001",Sedan,Gray,Black,4,5,-,FWD,1.8L,4,Gasoline
2019,Nissan,Altima,Milton,"$29,995","10,063",Sedan,Black,Black,4,5,Automatic,AWD,2.5L,4,Gasoline
2018,Mazda,Mazda3,Milton,"$18,833","58,243",Sedan,Black,Black,4,5,Automatic,FWD,2.5L,4,Gasoline
2014,Ford,Escape,Milton,"$13,495","157,675",SUV,Black,Black,4,5,Automatic,AWD,2.0L,4,Gasoline
2015,Volkswagen,Golf,Milton,"$17,995","112,992",Sedan,White,Black,4,5,Automatic,FWD,2.0L,4,Gasoline
2018,Mazda,CX-5,Milton,"$23,588","57,473",SUV,-,Black,5,5,Automatic,AWD,2.5L,4,Gasoline
2020,Kia,Rio,Milton,"$21,137","1,676",-,Black,-,2,5,-,FWD,#NAME?,-,Gasoline
2020,Kia,Rio,Milton,"$22,432",108,Sedan,White,Black,2,5,Automatic,FWD,1.6L,4,Gasoline
2020,Kia,Rio,Milton,"$22,777",22,Sedan,Black,-,2,5,Automatic,FWD,1.6L,4,Gasoline
2015,Toyota,Tacoma,Milton,"$25,999","111,169",Truck,White,-,4,5,Manual,4x4,4.0L,6,Gasoline
2018,Dodge,Grand,Milton,"$19,490","98,845",Van,-,-,4,7,Automatic,FWD,3.6L,6,Gasoline
2014,Mazda,Mazda6,Milton,"$14,750","85,194",Sedan,-,-,4,5,Automatic,FWD,2.5L,4,Gasoline
2015,Kia,Sedona,Milton,"$24,990","45,762",Van,-,-,4,8,Automatic,FWD,3.3L,6,Gasoline
2014,Jeep,Cherokee,Milton,"$12,799","119,447",SUV,-,-,4,5,Automatic,4x4,2.4L,4,Gasoline
2016,Hyundai,Elantra,Milton,"$12,988","35,868",Sedan,Black,Black,4,5,Automatic,FWD,1.8L,4,Gasoline
2016,Chrysler,200,Milton,"$17,995","73,986",Sedan,-,Black,4,5,Automatic,AWD,3.6L,6,Gasoline
2011,Ford,Flex,Milton,"$14,895","124,653",Sedan,White,Black,4,7,Automatic,AWD,3.5L,6,Gasoline
2016,Hyundai,Elantra,Milton,"$11,988","84,731",Sedan,Brown,Black,4,5,Automatic,FWD,2.0L,4,Gasoline
2018,Chevrolet,Equinox,Milton,"$19,988","17,344",SUV,-,Gray,4,5,Automatic,AWD,1.5L,4,Gasoline
2016,Honda,CR-V,Milton,"$17,788","65,435",SUV,Blue,Gray,4,5,Automatic,AWD,2.4L,4,Gasoline
2018,Honda,Civic,Milton,"$18,895","52,075",Sedan,Black,Black,4,5,Automatic,FWD,2.0L,4,Gasoline
2014,Toyota,Camry,Milton,"$11,990","124,258",Sedan,-,-,4,5,Automatic,FWD,2.5L,4,Gasoline
2015,Honda,Civic,Milton,"$13,563","75,619",Sedan,-,-,4,5,Automatic,FWD,1.8L,4,Gasoline
2016,Volkswagen,Tiguan,Milton,"$13,926","104,927",SUV,-,-,4,5,Automatic,AWD,2.0L,4,Gasoline
2016,Volkswagen,Tiguan,Milton,"$16,800","93,836",SUV,-,-,4,5,Automatic,AWD,2.0L,4,Gasoline
2017,Ram,1500,Milton,"$26,821","88,463",Truck,Black,Gray,4,6,Automatic,4x4,5.7L,8,Gasoline
2017,Jeep,Grand,Milton,"$59,716","36,689",SUV,Black,Black,4,5,Automatic,4x4,6.4L,8,Gasoline
2015,Honda,Accord,Milton,"$16,588","32,262",Sedan,Red,Black,4,5,Automatic,FWD,2.4L,4,Gasoline
2015,Nissan,Pathfinder,Milton,"$18,688","55,440",SUV,Black,Black,4,7,Automatic,4x4,3.5L,6,Gasoline
2016,Infiniti,QX50,Milton,"$21,995","100,901",SUV,-,Black,4,5,Automatic,AWD,3.7L,6,Gasoline
2019,Dodge,Charger,Milton,"$30,995","44,100",Sedan,-,Black,4,5,Automatic,AWD,3.6L,6,Gasoline
2019,Toyota,Camry,Milton,"$28,887","36,423",Sedan,Red,Black,4,5,Automatic,FWD,2.5L,4,Gasoline
2017,Mazda,CX-9,Milton,"$25,797","72,870",SUV,Black,Black,4,7,Automatic,AWD,2.5L,4,Gasoline
2016,Ram,ProMaster,Milton,"$14,918","123,606",Van,-,Black,4,5,Automatic,FWD,2.4L,4,Gasoline
2019,Dodge,Charger,Milton,"$29,995","41,200",Sedan,-,-,4,5,Automatic,AWD,3.6L,6,Gasoline
2019,Toyota,Camry,Milton,"$20,887","39,719",Sedan,-,-,4,5,Automatic,FWD,2.5L,4,Gasoline
2017,Chevrolet,Cruze,Milton,"$14,838","79,106",Sedan,-,-,4,5,Automatic,FWD,1.4L,4,Gasoline
2017,Cadillac,ATS,Milton,"$24,995","68,091",Coupe,Black,Black,2,4,Automatic,AWD,2.0L,4,Gasoline
2019,Chevrolet,Equinox,Milton,"$29,999","13,687",SUV,Black,-,4,5,Automatic,AWD,1.6L,4,Diesel
2018,BMW,X2,Milton,"$34,888","27,843",SUV,Black,-,2,5,Automatic,AWD,2.0L,4,Gasoline
2017,Chevrolet,Trax,Milton,"$13,408","116,535",SUV,Black,Black,4,5,Automatic,AWD,1.4L,4,Gasoline
2015,Mazda,Mazda3,Milton,"$17,390","13,863",Hatchback,-,-,4,5,Automatic,FWD,2.5L,4,Gasoline
2016,Audi,A6,Milton,"$30,990","74,144",Sedan,-,-,4,5,Automatic,AWD,3.0L,6,Gasoline
2013,Mercedes-Benz,B-Class,Milton,"$11,300","89,243",Hatchback,-,-,4,5,Automatic,FWD,2.0L,4,Gasoline
2016,Volkswagen,Tiguan,Milton,"$18,795","84,191",SUV,Red,-,2,5,Automatic,AWD,2.0L,4,Gasoline
2019,Nissan,Murano,Milton,"$37,695","13,058",SUV,White,-,4,5,Automatic,AWD,3.5L,6,Gasoline
2017,Ford,Edge,Milton,"$18,988","114,702",SUV,Gray,Black,4,5,Automatic,FWD,3.5L,6,Gasoline
2020,Chevrolet,Equinox,Milton,"$40,999","10,566",,or,or,r-,,,e,,ent2.0L,nders4
2018,Chevrolet,Malibu,Milton,"$17,995","77,807",Sedan,-,-,4,5,Automatic,FWD,1.5L,4,Gasoline
2011,Honda,Odyssey,Milton,"$9,990","185,476",Van,-,-,4,7,Automatic,FWD,3.5L,6,Gasoline
2015,Jeep,Cherokee,Milton,"$18,853","100,094",SUV,Black,Black,4,5,Automatic,4x4,3.2L,6,Gasoline
2014,Volkswagen,Passat,Milton,"$10,995","95,602",Sedan,Black,Black,4,5,Automatic,FWD,2.0L,4,Diesel
2014,Hyundai,Elantra,Milton,"$9,490","90,627",Sedan,-,-,4,5,Automatic,FWD,1.8L,4,Gasoline
2014,Kia,Sorento,Milton,"$10,995","106,524",SUV,Black,-,2,5,Automatic,FWD,2.4L,4,Gasoline
2019,Nissan,Rogue,Milton,"$30,495","18,322",SUV,-,Black,4,5,Automatic,AWD,2.5L,4,Gasoline
2013,Audi,Q7,Milton,"$18,388","89,207",SUV,Black,Black,4,5,Automatic,AWD,3.0L,6,Gasoline
2015,Lexus,GS,Milton,"$25,995","99,653",Sedan,Black,Black,4,5,Automatic,AWD,3.5L,6,Gasoline
2015,Audi,A4,Milton,"$19,995","100,119",Sedan,Black,Black,4,5,Automatic,AWD,2.0L,4,Gasoline
2020,GMC,Sierra,Milton,"$68,499","12,274",,or,or,r-,,,e,,ent6.2L,nders8
2016,Volkswagen,Tiguan,Milton,"$18,995","79,782",SUV,Gray,-,2,5,Automatic,AWD,2.0L,4,Gasoline
2016,Volkswagen,Tiguan,Milton,"$20,495","34,044",SUV,White,-,2,5,Automatic,AWD,2.0L,4,Gasoline
2016,Volkswagen,Tiguan,Milton,"$20,595","61,471",SUV,Blue,-,2,5,Automatic,AWD,2.0L,4,Gasoline
2007,Chevrolet,Cobalt,Milton,"$1,950","246,987",Sedan,Silver,Gray,4,5,Automatic,FWD,2.2L,4,Gasoline
2017,Ford,Fiesta,Milton,"$8,995","123,522",Hatchback,Black,Black,4,5,Automatic,FWD,1.6L,4,Gasoline
2016,Dodge,Journey,Milton,"$12,888","125,402",SUV,Black,Black,4,5,Automatic,FWD,2.4L,4,Gasoline
2008,Lexus,RX,Milton,"$9,888","170,504",SUV,White,-,4,5,Automatic,4x4,3.5L,6,Gasoline
2016,Hyundai,Sonata,Milton,"$14,295","153,348",Sedan,Black,White,4,5,Automatic,FWD,2.0L,4,Gasoline
2018,GMC,Savana,Milton,"$24,998","18,943",Commercial,White,-,3,2,Automatic,-,6.0L,-,Gasoline
2018,Ford,Transit,Milton,"$24,998","14,875",Van,White,Black,5,2,Automatic,-,6.0L,-,Gasoline
2015,Volkswagen,Tiguan,Milton,"$15,495","122,113",SUV,Black,Brown,4,5,Automatic,AWD,2.0L,4,Gasoline
2009,Lexus,ES,Milton,"$10,395","105,175",Sedan,Silver,Tan,4,5,Automatic,FWD,3.5L,6,Gasoline
2014,Volkswagen,Passat,Milton,"$10,995","142,434",Sedan,Black,Black,4,5,Automatic,FWD,2.0L,4,Diesel
2013,BMW,X3,Milton,"$13,795","133,482",SUV,Black,-,4,5,Automatic,AWD,3.0L,6,Gasoline
2017,Subaru,WRX,Milton,"$22,795","94,052",Sedan,Blue,Gray,4,5,Automatic,AWD,2.0L,4,Gasoline
2011,Toyota,Tacoma,Milton,"$21,888","103,617",Truck,Gray,-,4,5,Automatic,4x4,4.0L,6,Gasoline
2014,Kia,Optima,Milton,"$12,979","102,202",Sedan,-,-,4,5,Automatic,FWD,2.0L,4,Gasoline
2014,Volkswagen,Jetta,Milton,"$13,995","120,871",Sedan,Black,Black,4,5,Automatic,FWD,2.0L,4,Diesel
2019,Ford,Escape,Milton,"$29,995","25,723",SUV,-,-,4,5,Automatic,4x4,2.0L,4,Gasoline
2014,Audi,A4,Milton,"$15,995","125,599",Sedan,Gray,Black,4,5,Automatic,AWD,2.0L,4,Gasoline
2017,Nissan,Murano,Milton,"$21,696","91,158",SUV,-,-,4,5,Automatic,AWD,3.5L,6,Gasoline
2018,Toyota,Tacoma,Milton,"$34,799","36,581",Truck,-,-,4,5,Automatic,4x4,3.5L,6,Gasoline
2018,Dodge,Challenger,Milton,"$80,995","10,270",Coupe,-,Black,2,5,Manual,RWD,6.2L,8,Gasoline
2017,Hyundai,Veloster,Milton,"$12,337","98,944",Hatchback,-,-,3,4,Automatic,FWD,1.6L,4,Gasoline
2019,Kia,Sportage,Milton,"$20,995","57,223",SUV,Black,-,2,5,Automatic,AWD,2.4L,4,Gasoline
2020,Chevrolet,Silverado,Milton,"$55,990","7,556",,or,or,rBlack,,,e,,ent5.3L,nders8
2013,Volkswagen,Passat,Milton,"$10,595","114,086",Sedan,Silver,Black,4,5,Automatic,FWD,2.0L,4,Diesel
2019,Nissan,Rogue,Milton,"$21,995","11,340",SUV,White,Black,4,5,Automatic,FWD,2.5L,4,Gasoline
2013,Ford,Escape,Milton,"$10,995","106,051",SUV,Red,Black,4,5,Automatic,FWD,1.6L,4,Gasoline
2014,Volkswagen,Passat,Milton,"$11,995","118,925",Sedan,Black,Black,4,5,Automatic,FWD,2.0L,4,Diesel
2016,Volkswagen,Golf,Milton,"$12,595","113,358",Sedan,Gray,Black,4,5,Automatic,FWD,1.8L,4,Gasoline
2014,Hyundai,Sonata,Milton,"$9,999","143,431",Sedan,Blue,Gray,4,5,Automatic,FWD,2.4L,4,Gasoline
2013,Volkswagen,Passat,Milton,"$10,995","101,452",Sedan,Black,Black,4,5,Automatic,FWD,2.0L,4,Diesel
2016,Hyundai,Accent,Milton,"$5,995","168,168",Sedan,Black,Gray,4,5,Manual,FWD,1.6L,4,Gasoline
2016,Hyundai,Tucson,Milton,"$18,595","78,099",SUV,Black,-,2,5,Automatic,AWD,2.0L,4,Gasoline
2019,Nissan,Rogue,Milton,"$23,795","19,484",SUV,White,Black,4,5,Automatic,FWD,2.5L,4,Gasoline
2016,Honda,Pilot,Milton,"$30,999","49,543",SUV,White,Black,4,7,Automatic,AWD,3.5L,6,Gasoline
2015,Honda,Civic,Milton,"$12,995","94,491",Sedan,Blue,-,2,5,Automatic,FWD,1.8L,4,Gasoline
2017,Ford,Focus,Milton,"$13,995","73,702",Hatchback,Black,Black,4,5,Automatic,FWD,2.0L,4,Gasoline
2015,Ford,Focus,Milton,"$12,595","24,694",Sedan,Black,Black,4,5,Automatic,FWD,2.0L,4,Gasoline
2017,Honda,Civic,Milton,"$13,691","91,000",Sedan,-,-,4,5,Manual,FWD,2.0L,4,Gasoline
2013,Lexus,IS,Milton,"$16,899","65,515",Sedan,-,-,4,5,Automatic,AWD,2.5L,6,Gasoline
2016,Dodge,Grand,Milton,"$16,981","100,801",Van,-,Black,4,7,Automatic,FWD,3.6L,6,Gasoline
2014,Honda,Ridgeline,Milton,"$20,988","137,205",Truck,Silver,Black,4,5,Automatic,4x4,3.5L,6,Gasoline
2016,Nissan,Rogue,Milton,"$15,990","72,856",SUV,-,-,4,5,Automatic,AWD,2.5L,4,Gasoline
2014,Volkswagen,Passat,Milton,"$13,995","77,181",Sedan,Blue,Black,4,5,Automatic,FWD,2.0L,4,Diesel
2017,Ram,1500,Milton,"$28,995","41,931",Truck,Green,Black,4,6,Automatic,4x4,5.7L,8,Gasoline
2009,Dodge,Ram,Milton,"$13,495","177,130",Truck,Black,Gray,4,6,Automatic,AWD,5.7L,8,Gasoline
2016,Ram,1500,Milton,"$27,990","74,167",Truck,-,-,4,6,Automatic,4x4,3.0L,6,Diesel
2014,Cadillac,ATS,Milton,"$13,890","112,842",Sedan,-,-,4,5,Automatic,AWD,2.0L,4,Gasoline
2012,Volkswagen,Passat,Milton,"$8,990","118,373",Sedan,-,-,4,5,Automatic,FWD,2.0L,4,Diesel
2013,Volkswagen,Passat,Milton,"$10,995","131,185",Sedan,Gray,Black,4,5,Automatic,FWD,2.0L,4,Diesel
2017,Jeep,Grand,Milton,"$24,995","86,022",SUV,White,Black,4,5,Automatic,4x4,3.6L,6,Gasoline
2018,Hyundai,Santa,Milton,"$19,498","52,234",SUV,White,Gray,4,5,Automatic,FWD,2.4L,4,Gasoline
2017,Ram,1500,Milton,"$28,995","48,581",Truck,-,Black,4,6,Automatic,4x4,5.7L,8,Gasoline
2010,Dodge,Ram,Milton,"$12,795","199,223",Truck,Silver,Gray,4,6,Automatic,AWD,5.7L,8,Gasoline
2013,Ford,Econoline,Milton,"$19,998","81,531",Van,Gray,Gray,3,8,Automatic,RWD,4.6L,8,Flex
2017,Dodge,Durango,Milton,"$29,478","86,000",SUV,Black,Black,4,7,Automatic,AWD,3.6L,6,Gasoline
2016,Audi,Q5,Milton,"$24,495","67,220",SUV,Gray,-,2,5,Automatic,AWD,2.0L,4,Gasoline
2010,Ford,F-150,Milton,"$13,895","196,091",Truck,Silver,-,4,6,Automatic,AWD,4.6L,8,Gasoline
2016,Hyundai,Veloster,Milton,"$12,249","99,470",Hatchback,Blue,-,2,4,Automatic,FWD,1.6L,4,Gasoline
2015,Ram,1500,Milton,"$15,695","156,914",Truck,Black,Gray,4,6,Automatic,RWD,5.7L,8,Gasoline
2018,Jeep,Grand,Milton,"$35,995","35,100",SUV,Black,Black,4,5,Automatic,4x4,3.6L,6,Gasoline
2015,Kia,Soul,Milton,"$13,995","52,475",Sedan,White,-,2,5,Automatic,FWD,2.0L,4,Gasoline
2014,Ram,1500,Milton,"$19,795","144,422",Truck,Black,Gray,4,6,Automatic,AWD,5.7L,8,Gasoline
2010,Volkswagen,Jetta,Milton,"$4,795","218,282",Sedan,Gray,Gray,4,5,Manual,FWD,2.5L,5,Gasoline
2015,Nissan,NV,Milton,"$22,788","94,634",Van,White,Gray,3,2,Automatic,RWD,4.0L,6,Gasoline
2019,Jeep,Cherokee,Milton,"$30,995","17,936",SUV,Blue,Black,4,5,Automatic,4x4,3.2L,6,Gasoline
2019,Nissan,Pathfinder,Milton,"$38,995","13,193",SUV,White,Gray,4,7,Automatic,4x4,3.5L,6,Gasoline
2017,Ford,Explorer,Milton,"$29,795","118,235",SUV,Black,Black,4,7,Automatic,4x4,3.5L,6,Gasoline
2015,Volkswagen,Golf,Milton,"$12,495","86,824",Sedan,Gray,-,2,5,Automatic,FWD,1.8L,4,Gasoline
2015,Audi,A4,Milton,"$18,495","108,801",Sedan,Black,-,2,5,Automatic,AWD,2.0L,4,Gasoline
2016,Cadillac,Escalade,Milton,"$55,999","109,091",SUV,Black,Black,4,7,Automatic,4x4,6.2L,8,Flex
2014,Hyundai,Elantra,Milton,"$10,995","95,212",Sedan,Blue,Black,4,5,Automatic,FWD,1.8L,4,Gasoline
2015,Acura,MDX,Milton,"$21,795","138,127",SUV,Silver,Black,4,7,Automatic,AWD,3.5L,6,Gasoline
2016,Chevrolet,Cruze,Milton,"$14,995","44,903",Sedan,White,Black,4,5,Automatic,FWD,1.4L,4,Gasoline
2014,Honda,Pilot,Milton,"$20,688","107,432",SUV,Gray,Gray,4,8,Automatic,4x4,3.5L,6,Gasoline
2017,Nissan,Rogue,Milton,"$20,995","46,904",SUV,Black,Black,4,5,Automatic,AWD,2.5L,4,Gasoline
2016,Kia,Optima,Milton,"$16,295","105,661",Sedan,Black,-,2,5,Automatic,FWD,2.4L,4,Gasoline
2015,Chevrolet,Cruze,Milton,"$10,995","125,419",Sedan,Blue,Black,4,5,Automatic,FWD,1.4L,4,Gasoline
2019,Dodge,Durango,Milton,"$41,995","36,022",SUV,-,Black,4,7,Automatic,AWD,3.6L,6,Gasoline
2016,Volkswagen,Jetta,Milton,"$14,795","75,780",Sedan,Blue,Gray,4,5,Automatic,FWD,1.4L,4,Gasoline
2015,Volkswagen,Golf,Milton,"$10,895","130,571",Sedan,Blue,Black,4,5,Automatic,FWD,1.8L,4,Gasoline
2015,Ford,Fiesta,Milton,"$6,695","90,105",Sedan,White,Gray,4,5,Manual,FWD,1.6L,4,Gasoline
2008,Subaru,Impreza,Milton,"$10,795","151,683",Sedan,White,Gray,4,5,Manual,AWD,2.5L,4,Gasoline
2014,Nissan,Pathfinder,Milton,"$12,995","169,475",SUV,-,Black,4,7,Automatic,4x4,3.5L,6,Gasoline
2014,Chevrolet,Cruze,Milton,"$11,995","102,431",Sedan,Blue,Black,4,5,Automatic,FWD,1.4L,4,Gasoline
2012,BMW,X3,Milton,"$9,795","227,125",SUV,Tan,Tan,4,5,Automatic,AWD,3.0L,6,Gasoline
2016,Kia,Optima,Milton,"$16,795","105,194",Sedan,White,Black,4,5,Automatic,FWD,2.4L,4,Gasoline
2009,Subaru,Forester,Milton,"$6,495","175,395",SUV,Silver,Gray,4,5,Manual,AWD,2.5L,4,Gasoline
2017,Jeep,Cherokee,Milton,"$19,998","42,314",SUV,Red,Black,4,5,Automatic,4x4,2.4L,4,Gasoline
2016,Toyota,RAV4,Milton,"$26,695","79,222",SUV,-,-,2,5,Automatic,AWD,2.5L,4,Gasoline
2014,Ford,Escape,Milton,"$11,299","108,577",SUV,Black,Gray,4,5,Automatic,FWD,1.6L,4,Gasoline
2017,Kia,Sportage,Milton,"$22,995","80,151",SUV,White,-,2,5,Automatic,AWD,2.0L,4,Gasoline
2015,Volkswagen,Passat,Milton,"$14,995","100,043",Sedan,-,-,2,5,Manual,FWD,1.8L,4,Gasoline
2018,Chrysler,Pacifica,Milton,"$35,995","31,600",Van,Blue,Black,4,7,Automatic,FWD,3.6L,6,Gasoline
2014,BMW,3,Milton,"$14,499","129,014",Sedan,White,-,2,5,-,RWD,2.0L,4,Gasoline
2018,Chevrolet,Cruze,Milton,"$19,995","26,006",Sedan,Blue,Black,4,5,Automatic,FWD,1.4L,4,Gasoline
2018,Chevrolet,Malibu,Milton,"$19,995","51,658",Sedan,Gray,Black,4,5,Automatic,FWD,1.5L,4,Gasoline
2017,Kia,Optima,Milton,"$14,695","52,972",Sedan,Silver,Gray,4,5,Automatic,FWD,2.4L,4,Gasoline
2018,Chrysler,Pacifica,Milton,"$40,995","23,987",Van,Black,Tan,4,7,Automatic,FWD,3.6L,6,Gasoline
2018,Mitsubishi,RVR,Milton,"$20,995","51,473",SUV,White,-,2,5,Automatic,4x4,2.0L,4,Gasoline
2014,Honda,Civic,Milton,"$14,350","69,184",Sedan,Gray,-,2,5,Automatic,FWD,1.8L,4,Gasoline
2015,Kia,Soul,Milton,"$13,588","94,014",Sedan,Red,-,2,5,Automatic,FWD,2.0L,4,Gasoline
2016,Jeep,Cherokee,Milton,"$17,995","77,338",SUV,Black,Black,4,5,Automatic,4x4,3.2L,6,Gasoline
2019,Ram,1500,Milton,"$39,999","1,050",Truck,-,Gray,4,6,Automatic,4x4,3.0L,6,Diesel
2019,Ram,1500,Milton,"$39,999","1,050",Truck,-,Gray,4,6,Automatic,4x4,3.0L,6,Diesel
2019,Jeep,Wrangler,Milton,"$47,999","1,050",SUV,-,Black,4,5,Automatic,4x4,3.6L,6,Gasoline
2019,Jeep,Wrangler,Milton,"$51,999","1,050",SUV,-,Black,4,5,Automatic,4x4,3.6L,6,Gasoline
2018,Chrysler,Pacifica,Milton,"$36,995","25,317",Van,Black,Black,4,7,Automatic,FWD,3.6L,6,Gasoline
2018,Kia,Rio,Milton,"$14,499","64,590",Sedan,Black,-,5,5,Automatic,FWD,1.6L,4,Gasoline
2017,Chrysler,Pacifica,Milton,"$30,995","43,596",Van,-,Tan,4,7,Automatic,FWD,3.6L,6,Gasoline
2010,Subaru,Forester,Milton,"$11,495","158,820",Van,Silver,Black,4,5,Automatic,AWD,2.5L,4,Gasoline
2020,Ram,1500,Milton,"$69,999","3,501",Truck,-,Black,4,5,Automatic,4x4,5.7L,8,Gasoline
2010,BMW,3,Milton,"$10,695","149,092",Coupe,White,Black,2,4,Automatic,AWD,3.0L,6,Gasoline
2012,MINI,Cooper,Milton,"$9,895","118,536",Sedan,White,Black,4,4,Manual,FWD,1.6L,4,Gasoline
2009,Subaru,Forester,Milton,"$6,795","197,024",SUV,Silver,Gray,4,5,Manual,AWD,2.5L,4,Gasoline
2013,Scion,tC,Milton,"$8,795","170,588",Coupe,Gray,Gray,2,5,Manual,FWD,2.4L,4,Gasoline
2015,Mercedes-Benz,CLS-Class,Milton,"$36,995","38,170",Sedan,Silver,Black,4,4,Automatic,AWD,3.0L,6,Gasoline
2015,Subaru,WRX,Milton,"$27,495","97,154",Sedan,White,Gray,4,5,Manual,AWD,2.5L,4,Gasoline
2016,Subaru,WRX,Milton,"$25,795","77,959",Sedan,Blue,Gray,4,5,Manual,AWD,2.0L,4,Gasoline
2013,Hyundai,Elantra,Milton,"$6,795","200,657",Sedan,Blue,Gray,4,5,Automatic,FWD,1.8L,4,Gasoline
2010,Subaru,Legacy,Milton,"$8,995","187,532",Sedan,Black,Black,4,5,Automatic,AWD,3.6L,6,Gasoline
2008,Subaru,Outback,Milton,"$7,295","155,102",Wagon,Tan,-,4,5,Automatic,AWD,2.5L,4,Gasoline
2010,Subaru,Impreza,Milton,"$12,995","155,145",Sedan,White,Gray,4,5,Manual,AWD,2.5L,4,Gasoline
2017,Subaru,WRX,Milton,"$33,495","89,404",Sedan,Black,Black,4,5,Manual,AWD,2.5L,4,Gasoline
2017,Subaru,WRX,Milton,"$25,995","73,991",Sedan,White,Gray,4,5,Manual,AWD,2.0L,4,Gasoline
2016,Subaru,WRX,Milton,"$25,795","68,003",Sedan,White,Gray,4,5,Manual,AWD,2.0L,4,Gasoline
2016,Subaru,WRX,Milton,"$25,795","71,166",Sedan,White,Gray,4,5,Manual,AWD,2.0L,4,Gasoline
2015,Subaru,WRX,Milton,"$27,495","93,500",Sedan,White,Black,4,5,Manual,AWD,2.5L,4,Gasoline
2011,Subaru,Impreza,Milton,"$14,795","126,289",Sedan,Blue,Black,4,5,Manual,AWD,2.5L,4,Gasoline
2008,Mitsubishi,Lancer,Milton,"$4,695","241,801",Sedan,Gray,Gray,4,5,Manual,FWD,2.0L,4,Gasoline
2010,Subaru,Forester,Milton,"$11,795","123,518",Van,Blue,-,4,5,Automatic,AWD,2.5L,4,Gasoline
2015,BMW,3,Milton,"$23,795","74,449",Sedan,Gray,Black,4,5,Automatic,AWD,3.0L,6,Gasoline
2014,Dodge,Journey,Milton,"$8,895","153,191",SUV,Blue,Black,4,5,Automatic,FWD,2.4L,4,Gasoline
2008,BMW,3,Milton,"$9,295","164,397",Coupe,Gray,Red,2,4,Automatic,AWD,3.0L,6,Gasoline
