year,price,mileage,door,passenger,displacement,cylinder,body_type_num,location_index,exterior_color(i),interior_color(i),transmission(i),drive_type(i),fuel_index,brand_i,country_i,real_year,vehicle_id
2016,24995,127000,4,5,0.0,4,5.0,0,0,0,0,4,1,16,2,7.29,141
2017,22894,69000,3,2,4.8,8,8.0,0,0,0,0,3,0,10,2,4.38,142
2013,15995,159000,4,5,0.0,4,8.0,0,0,0,0,1,0,12,2,10.12,143
2017,27985,79000,3,5,0.0,6,8.0,0,0,0,0,3,0,16,2,4.79,144
2017,26895,95123,3,5,0.0,6,8.0,0,0,0,0,3,0,16,2,5.46,145
2018,25985,30889,3,5,0.0,6,8.0,0,0,0,0,3,0,12,2,2.29,146
2019,34985,27000,2,2,6.0,8,8.0,0,0,0,0,3,1,10,2,1.62,147
2015,14985,131000,4,5,0.0,4,8.0,0,0,0,0,0,0,16,2,7.96,148
2018,29985,45000,3,5,0.0,6,8.0,0,0,0,0,3,0,16,2,2.88,149
2017,26985,95055,3,5,0.0,6,8.0,0,0,0,0,3,0,16,2,5.46,150
2019,26985,14000,3,5,0.0,6,8.0,0,0,0,0,3,0,12,2,1.08,151
2019,31985,24304,3,5,0.0,8,8.0,0,0,0,0,3,0,12,2,1.51,152
2018,27800,3121,3,2,4.3,6,8.0,0,0,0,0,3,1,10,2,1.13,153
2018,26985,3000,3,2,4.8,6,8.0,0,0,0,0,3,0,12,2,1.12,154
2019,36985,18118,2,5,0.0,10,8.0,0,0,0,0,1,0,16,2,1.25,155
2018,30985,21000,3,2,3.7,6,8.0,0,0,0,0,3,0,16,2,1.88,156
2019,29985,12145,3,5,0.0,6,8.0,0,0,0,0,3,0,12,2,1.01,157
2018,29495,71000,3,5,0.0,6,8.0,0,0,0,0,3,0,16,2,3.96,158
2019,35985,13000,3,5,0.0,6,8.0,0,0,0,0,3,0,16,2,1.04,159
2006,7995,233100,4,7,0.0,4,2.0,0,2,0,0,4,0,22,0,16.71,160
2016,21888,46121,4,5,3.5,6,1.0,0,1,0,0,0,0,5,0,3.92,161
2013,14788,73659,4,5,3.5,6,2.0,0,7,1,0,0,0,0,0,6.57,162
2018,34888,23700,4,5,3.6,6,2.0,0,2,0,0,4,0,4,2,1.99,163
2004,1995,213850,4,5,0.0,4,1.0,0,7,0,0,0,0,17,3,16.91,164
2010,6995,200391,4,5,0.0,4,2.0,0,0,0,0,2,0,8,0,13.35,165
2008,7995,144100,4,5,0.0,4,1.0,0,5,0,0,1,0,18,3,12.0,166
2017,14588,44032,4,5,2.0,4,1.0,0,2,0,0,0,0,2,1,3.33,167
2009,7495,115118,4,5,0.0,4,2.0,0,2,0,0,2,0,2,1,10.3,168
2019,22888,46755,4,5,3.6,6,1.0,0,1,0,0,3,0,1,2,2.45,169
